INFO  - 2013-07-16 10:09:11.469; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/facet_fields.vm
INFO  - 2013-07-16 10:09:11.474; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/facet_pivot.vm
INFO  - 2013-07-16 10:09:11.479; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/facet_queries.vm
INFO  - 2013-07-16 10:09:11.484; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/facet_ranges.vm
INFO  - 2013-07-16 10:09:11.488; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/facets.vm
INFO  - 2013-07-16 10:09:11.494; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/footer.vm
INFO  - 2013-07-16 10:09:11.499; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/head.vm
INFO  - 2013-07-16 10:09:11.504; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/header.vm
INFO  - 2013-07-16 10:09:11.509; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/hit.vm
INFO  - 2013-07-16 10:09:11.514; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/hitGrouped.vm
INFO  - 2013-07-16 10:09:11.519; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/join-doc.vm
INFO  - 2013-07-16 10:09:11.524; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/jquery.autocomplete.css
INFO  - 2013-07-16 10:09:11.529; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/jquery.autocomplete.js
INFO  - 2013-07-16 10:09:11.534; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/layout.vm
INFO  - 2013-07-16 10:09:11.539; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/main.css
INFO  - 2013-07-16 10:09:11.545; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/product-doc.vm
INFO  - 2013-07-16 10:09:11.551; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/query.vm
INFO  - 2013-07-16 10:09:11.557; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/queryGroup.vm
INFO  - 2013-07-16 10:09:11.562; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/querySpatial.vm
INFO  - 2013-07-16 10:09:11.567; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/richtext-doc.vm
INFO  - 2013-07-16 10:09:11.572; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/suggest.vm
INFO  - 2013-07-16 10:09:11.577; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/tabs.vm
INFO  - 2013-07-16 10:09:11.582; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/VM_global_library.vm
INFO  - 2013-07-16 10:09:11.587; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/wdfftypes.txt
INFO  - 2013-07-16 10:09:11.591; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/xslt/example.xsl
INFO  - 2013-07-16 10:09:11.597; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/xslt/example_atom.xsl
INFO  - 2013-07-16 10:09:11.602; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/xslt/example_rss.xsl
INFO  - 2013-07-16 10:09:11.607; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/xslt/luke.xsl
INFO  - 2013-07-16 10:09:11.612; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/xslt/updateXml.xsl
INFO  - 2013-07-16 10:09:11.634; org.apache.solr.core.CoreContainer; Creating SolrCore 'logmill' using instanceDir: solr/logmill
INFO  - 2013-07-16 10:09:11.634; org.apache.solr.cloud.ZkController; Check for collection zkNode:logmill
INFO  - 2013-07-16 10:09:11.635; org.apache.solr.cloud.ZkController; Creating collection in ZooKeeper:logmill
INFO  - 2013-07-16 10:09:11.636; org.apache.solr.cloud.ZkController; Setting config for collection:logmill to logmill
INFO  - 2013-07-16 10:09:11.636; org.apache.solr.common.cloud.SolrZkClient; makePath: /collections/logmill
INFO  - 2013-07-16 10:09:11.639; org.apache.solr.cloud.ZkController; Load collection config from:/collections/logmill
INFO  - 2013-07-16 10:09:11.642; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/logmill/'
INFO  - 2013-07-16 10:09:11.689; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-07-16 10:09:11.691; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-07-16 10:09:11.691; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-07-16 10:09:11.691; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.692; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-07-16 10:09:11.693; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/thelabdude/dev/SolrInAction/solr-4.3.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
